iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
253,25.49,19.2212,141.5995,39.5511,0.6115,1.0e-04,,,5.4
254,24.88,18.5415,149.0360,39.6903,0.6134,1.0e-04,,,6.2
255,25.50,19.2251,141.8542,41.3920,0.6046,1.0e-04,,,3.5
256,24.62,18.3018,147.9595,41.1012,0.6100,1.0e-04,,,3.5
257,24.98,18.7227,148.7420,39.6250,0.6162,1.0e-04,,,6.4
258,23.62,17.2949,162.3467,41.0656,0.6085,1.0e-04,,,3.5
259,24.61,18.1577,176.7969,44.2649,0.6150,1.0e-04,,,6.0
260,25.41,19.2246,168.7489,43.8352,0.6130,1.0e-04,25.57,0.45,5.4
261,25.25,18.8540,174.8419,43.2301,0.6153,1.0e-04,,,3.5
262,25.92,19.2720,150.8643,43.2853,0.6108,1.0e-04,,,3.5
263,24.42,18.2012,156.6907,39.8512,0.6183,1.0e-04,,,5.1
264,25.69,19.1318,152.3889,40.7557,0.6199,1.0e-04,,,6.0
265,24.87,18.6650,168.2894,44.6905,0.6046,1.0e-04,,,6.0
266,25.52,19.2437,147.6001,40.4403,0.6211,1.0e-04,,,3.5
267,25.19,18.8740,179.3143,46.6250,0.6170,1.0e-04,,,6.2
268,24.91,18.7388,195.3856,44.4915,0.6057,1.0e-04,,,3.5
269,24.52,18.3491,162.8201,42.6399,0.6161,1.0e-04,,,3.5
270,25.42,19.1060,160.7106,42.4034,0.6180,1.0e-04,24.93,0.41,5.4
271,24.44,18.2666,182.4937,44.2827,0.6125,1.0e-04,,,3.5
272,25.93,19.3555,175.1051,47.9620,0.6147,1.0e-04,,,3.5
273,25.30,18.7026,167.2585,42.1335,0.6227,1.0e-04,,,6.4
274,24.24,17.7925,172.5871,42.7173,0.6212,1.0e-04,,,3.5
275,24.34,18.0435,189.2039,43.8214,0.6146,1.0e-04,,,6.1
276,25.42,18.7109,179.8974,44.2273,0.6125,1.0e-04,,,5.2
277,25.22,18.6279,174.0846,46.5142,0.6117,1.0e-04,,,6.1
278,24.52,17.9009,178.3400,44.3571,0.6118,1.0e-04,,,3.5
279,22.79,16.6553,191.0405,40.9737,0.6148,1.0e-04,,,6.0
280,25.70,19.1641,161.5121,43.8665,0.6132,1.0e-04,25.98,0.49,6.0
281,22.69,16.4648,192.1749,42.0757,0.6175,1.0e-04,,,5.9
282,24.40,18.0762,150.4150,42.9256,0.6159,1.0e-04,,,3.4
283,23.27,17.1113,172.6207,41.0312,0.6187,1.0e-04,,,3.4
284,24.62,18.1860,158.1613,40.7946,0.6199,1.0e-04,,,3.5
285,25.39,18.9580,155.9497,40.3949,0.6146,1.0e-04,,,5.4
286,24.19,17.9375,169.5993,41.0149,0.6168,1.0e-04,,,3.5
287,25.20,18.7544,141.7885,41.0938,0.6171,1.0e-04,,,6.4
288,25.10,18.5083,163.7884,42.2699,0.6194,1.0e-04,,,6.4
289,24.45,17.9126,175.5953,42.1815,0.6201,1.0e-04,,,5.4
290,24.40,18.1016,178.2283,42.5357,0.6158,1.0e-04,25.17,0.48,3.6
291,25.78,19.2588,167.1912,44.5710,0.6152,1.0e-04,,,3.5
292,25.29,18.9297,167.1050,43.9915,0.6171,1.0e-04,,,3.5
293,24.77,18.2251,174.9215,42.8601,0.6176,1.0e-04,,,6.1
294,25.38,18.6055,184.8091,46.4006,0.6233,1.0e-04,,,5.1
295,24.10,17.6279,180.1045,44.0565,0.6171,1.0e-04,,,6.0
296,24.67,18.4741,176.0614,42.6518,0.6113,1.0e-04,,,6.0
297,24.13,17.9009,169.6293,42.6131,0.6151,1.0e-04,,,3.5
298,24.10,17.9668,180.2892,43.3750,0.6019,1.0e-04,,,6.0
299,24.52,18.4673,163.6589,43.3065,0.6069,1.0e-04,,,5.1
300,25.23,19.1865,173.1046,44.7898,0.6110,1.0e-04,24.92,0.36,6.0
301,24.29,18.2046,176.8235,42.8810,0.6190,1.0e-04,,,6.0
302,26.02,19.5640,178.9089,44.0734,0.6194,1.0e-04,,,3.6
303,25.07,18.5806,168.5313,43.5682,0.6201,1.0e-04,,,3.6
304,23.88,17.4165,180.0195,40.9531,0.6203,1.0e-04,,,6.6
305,25.48,18.6382,151.5250,42.6562,0.6149,1.0e-04,,,5.6
306,23.25,16.7944,174.7558,37.7344,0.6221,1.0e-04,,,3.6
307,24.04,17.6826,141.2457,35.5089,0.6223,1.0e-04,,,6.9
308,24.13,17.6333,134.8534,39.5565,0.6088,1.0e-04,,,6.2
309,24.75,18.0273,153.9836,38.7917,0.6171,1.0e-04,,,3.5
310,23.94,17.2500,162.5326,42.0536,0.6113,1.0e-04,24.85,0.69,3.5
311,25.39,18.2637,128.0503,40.6761,0.6075,1.0e-04,,,3.5
312,24.53,17.7310,157.3606,43.8631,0.6124,1.0e-04,,,3.5
313,24.36,17.7354,145.4300,42.0446,0.6179,1.0e-04,,,5.1
314,25.29,18.7144,167.1967,46.1165,0.6176,1.0e-04,,,3.5
315,25.28,18.7427,167.1829,45.7926,0.6197,1.0e-04,,,3.5
316,23.72,17.4185,169.9878,42.4781,0.6183,1.0e-04,,,6.0
317,24.54,17.9697,164.9292,41.3512,0.6244,1.0e-04,,,3.4
318,24.30,17.6841,175.5048,44.2827,0.6162,1.0e-04,,,6.1
319,23.55,17.0986,163.3790,41.1031,0.6240,1.0e-04,,,5.1
320,23.65,17.4131,150.1716,40.7875,0.6241,1.0e-04,25.44,0.37,6.0
321,25.28,18.9556,143.6690,41.1165,0.6146,1.0e-04,,,3.5
322,22.96,17.0015,165.2982,43.3188,0.6121,1.0e-04,,,5.4
323,24.17,18.2329,172.5229,41.0565,0.6141,1.0e-04,,,6.4
324,25.05,18.9927,148.9294,40.9517,0.6181,1.0e-04,,,5.3
325,26.45,20.0806,161.3721,45.8913,0.6154,1.0e-04,,,5.3
326,24.71,18.4526,160.8393,44.7351,0.6135,1.0e-04,,,3.5
327,23.47,17.3940,168.2392,40.9562,0.6216,1.0e-04,,,3.5
328,24.52,18.1528,155.1597,41.8571,0.6258,1.0e-04,,,5.2
329,25.29,18.8066,161.1493,44.9801,0.6222,1.0e-04,,,6.2
330,25.09,18.4209,152.2816,42.5653,0.6185,1.0e-04,25.89,0.51,3.5
331,25.14,18.6387,185.3790,44.2926,0.6217,1.0e-04,,,6.0
332,25.08,18.6860,176.6501,44.1506,0.6249,1.0e-04,,,6.0
333,24.16,17.7119,182.7663,44.1280,0.6241,1.0e-04,,,3.5
334,25.57,19.1597,170.5493,46.6591,0.6215,1.0e-04,,,6.1
335,24.43,17.8784,196.4919,46.9405,0.6216,1.0e-04,,,3.5
336,24.49,18.0591,173.2529,42.5298,0.6200,1.0e-04,,,5.2
337,26.04,19.3433,167.6294,43.5788,0.6249,1.0e-04,,,5.2
338,24.80,18.4570,153.2409,40.7946,0.6261,1.0e-04,,,6.1
339,24.50,18.1099,156.3529,46.1518,0.6212,1.0e-04,,,3.5
340,25.16,18.5278,184.8867,45.3892,0.6195,1.0e-04,25.91,0.48,6.0
341,24.47,18.1289,177.7407,41.9315,0.6153,1.0e-04,,,5.2
342,24.50,18.0596,173.5821,45.1250,0.6169,1.0e-04,,,3.5
343,24.97,18.5811,165.3341,42.7131,0.6181,1.0e-04,,,5.2
344,27.07,20.3101,154.8374,45.3073,0.6176,1.0e-04,,,6.2
345,24.36,18.0430,160.1603,41.8482,0.6147,1.0e-04,,,3.5
346,25.11,18.8364,165.2255,42.6108,0.6104,1.0e-04,,,3.5
347,24.11,18.0884,155.1508,41.2351,0.6123,1.0e-04,,,3.5
